Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003,-0.71,0.43,3.13,10.18,14.8,18.67,19.98,22.58,20.06,13.23,9.66,3.18
2004,-0.14,1.78,4.13,10.19,15.38,19.56,23.81,23.64,20.67,13.92,9.78,3.7
2005,-0.18,-0.44,3.09,9.93,13.44,19.53,22.02,24.29,20.81,14.91,8.1,0.03
2006,-0.77,0.75,3.63,8.32,14.56,18.33,22,24.72,19.72,14.71,8.97,3.09
2007,1.23,2.34,4.23,8.91,14.58,19.21,21.17,24.68,21.45,14.5,7.81,3.15
2008,-0.26,-0.62,5.1,10.14,14.45,17.87,23.34,23.35,20.31,14.74,7.81,3.6
2009,0.78,1.81,4.44,10.02,15.34,18.75,21.78,22.9,19.44,14.12,8.28,2.75
2010,0.42,1.1,3.69,8.22,13.96,19.42,23.54,25.8,21.35,14.7,8.18,3.49
2011,-1.73,1.42,2.58,9.06,14.03,19.08,23.46,24.22,20.83,14.37,9.54,1.74
2012,-0.97,-1.08,3.42,9.6,14.68,18.12,22.94,24.87,21.37,14.63,7.52,1.12
2013,-1.09,-0.17,4.87,9.11,14.25,19.12,23.66,24.94,20.53,15.28,7.86,2.55
2014,-0.17,0.25,4.16,9.56,15.03,19.31,23.03,23.41,19.36,14.03,8.88,1.26
2015,0.6,1.17,5.03,10.54,16.11,18.32,22.65,23.51,19.18,13.63,9.48,4.17
2016,0.3,1.08,4.97,10.72,16.13,18.77,22.78,24.79,20.79,14.46,7.23,3.4
2017,0.19,0.89,3.63,10.21,15.69,17.84,24.06,23.77,19.52,13.65,7.34,1.26
2018,-0.55,-0.68,5.64,11.16,15.26,18.89,24.12,24.32,19.85,14.62,9.07,3.1
2019,0.4,1.53,5.09,9.51,16.13,18.78,22.3,24.35,21.36,15.57,8.37,3.55
2020,1.97,2.01,5.77,8.76,15.45,19.94,21.63,25.28,21.02,14.19,9.25,2.22
2021,-0.32,2.21,6.53,10.27,15,19.43,23.9,23.8,20.11,14.8,9.08,2.89
